feature_id,feature_name,decision,thesis,evidence,next_step
FEAT001,Core fundamentals signal 1,promote,Revision acceleration captures slow analyst incorporation after guidance changes.,"Test IC 0.695, spread 1291.2 bps, PSI 0.074, health 97.1.",Move into research review with guardrail monitoring.
FEAT002,Earnings text signal 2,promote,Gross margin pressure appears before consensus models absorb cost shocks.,"Test IC 0.582, spread 876.8 bps, PSI 0.015, health 97.3.",Move into research review with guardrail monitoring.
FEAT003,Supply chain web signal 3,promote,Hiring intensity gives an early read on operating momentum by peer group.,"Test IC 0.4569, spread 700.4 bps, PSI 0.022, health 97.4.",Move into research review with guardrail monitoring.
FEAT004,Hiring feeds signal 4,watch,Supplier disruption language precedes inventory and revenue misses.,"Test IC 0.4316, spread 619.8 bps, PSI 0.186, health 93.0.",Keep in candidate pool and require another out-of-sample window.
FEAT005,Analyst revisions signal 5,promote,Web demand momentum helps separate real growth from channel stuffing.,"Test IC 0.3071, spread 426.7 bps, PSI 0.1, health 96.3.",Move into research review with guardrail monitoring.
FEAT006,Card spend signal 6,promote,Payment share shifts reveal changing consumer traction across peers.,"Test IC 0.667, spread 1285.7 bps, PSI 0.145, health 94.6.",Move into research review with guardrail monitoring.
FEAT007,Core fundamentals signal 7,watch,Filings sentiment flags balance-sheet stress before the next reporting cycle.,"Test IC -0.0773, spread -131.1 bps, PSI 0.047, health 95.3.",Keep in candidate pool and require another out-of-sample window.
FEAT008,Earnings text signal 8,repair,Price realization captures sector-level demand resilience.,"Test IC 0.6258, spread 1143.4 bps, PSI 0.298, health 96.7.",Fix stationarity or curation defect before promotion.
FEAT009,Supply chain web signal 9,promote,Inventory drift indicates future discounting pressure.,"Test IC 0.6492, spread 1190.6 bps, PSI 0.019, health 96.8.",Move into research review with guardrail monitoring.
FEAT010,Hiring feeds signal 10,promote,Customer concentration alerts identify names with brittle revenue quality.,"Test IC 0.581, spread 895.6 bps, PSI 0.024, health 96.9.",Move into research review with guardrail monitoring.
FEAT011,Analyst revisions signal 11,quarantine,Late vendor restatements can create false alpha if backfilled into training.,"Test IC 0.7501, spread 1567.2 bps, PSI 0.044, health 0.",Exclude from training data until availability and feed defects clear.
FEAT012,Card spend signal 12,promote,News burst decay captures temporary attention effects that should fade.,"Test IC 0.3813, spread 546.8 bps, PSI 0.055, health 96.8.",Move into research review with guardrail monitoring.
FEAT013,Core fundamentals signal 13,promote,Estimate dispersion reflects disagreement that may amplify return skew.,"Test IC 0.3131, spread 407.9 bps, PSI 0.075, health 89.7.",Move into research review with guardrail monitoring.
FEAT014,Earnings text signal 14,promote,Short interest crowding identifies fragile momentum exposures.,"Test IC 0.1773, spread 234.7 bps, PSI 0.08, health 97.0.",Move into research review with guardrail monitoring.
FEAT015,Supply chain web signal 15,quarantine,Disclosure lag flags issuer groups where features need stricter availability rules.,"Test IC -0.1049, spread -153.8 bps, PSI 0.165, health 34.2.",Exclude from training data until availability and feed defects clear.
FEAT016,Hiring feeds signal 16,promote,Macro beta residuals isolate company-specific information from market noise.,"Test IC 0.6252, spread 1069.2 bps, PSI 0.129, health 96.7.",Move into research review with guardrail monitoring.
