action_id,feature_id,action_type,owner,effort_hours,expected_research_value,note
ACT001,FEAT001,watch,Research,5,60000,Keep in candidate set but require another validation window.
ACT002,FEAT002,repair,Feature engineering,4,140000,Fix curation issue before using in model training.
ACT003,FEAT003,quarantine,Data operations,9,120000,Block from training data until point-in-time defect is resolved.
ACT004,FEAT004,retire,ML platform,11,70000,Remove from active queue unless a stronger economic thesis appears.
ACT005,FEAT005,watch,Research,33,50000,Keep in candidate set but require another validation window.
ACT006,FEAT006,quarantine,Feature engineering,12,50000,Block from training data until point-in-time defect is resolved.
ACT007,FEAT007,repair,Data operations,30,140000,Fix curation issue before using in model training.
ACT008,FEAT008,quarantine,ML platform,21,170000,Block from training data until point-in-time defect is resolved.
ACT009,FEAT009,watch,Research,20,50000,Keep in candidate set but require another validation window.
ACT010,FEAT010,repair,Feature engineering,15,90000,Fix curation issue before using in model training.
ACT011,FEAT011,repair,Data operations,38,110000,Fix curation issue before using in model training.
ACT012,FEAT012,repair,ML platform,38,170000,Fix curation issue before using in model training.
ACT013,FEAT013,promote,Research,18,50000,Package for next research review with monitoring guardrails.
ACT014,FEAT014,retire,Feature engineering,14,20000,Remove from active queue unless a stronger economic thesis appears.
ACT015,FEAT015,repair,Data operations,13,120000,Fix curation issue before using in model training.
ACT016,FEAT016,retire,ML platform,19,60000,Remove from active queue unless a stronger economic thesis appears.
ACT017,FEAT001,repair,Research,7,30000,Fix curation issue before using in model training.
ACT018,FEAT002,repair,Feature engineering,10,170000,Fix curation issue before using in model training.
ACT019,FEAT003,watch,Data operations,34,130000,Keep in candidate set but require another validation window.
ACT020,FEAT004,retire,ML platform,34,50000,Remove from active queue unless a stronger economic thesis appears.
ACT021,FEAT005,watch,Research,26,20000,Keep in candidate set but require another validation window.
ACT022,FEAT006,promote,Feature engineering,9,40000,Package for next research review with monitoring guardrails.
ACT023,FEAT007,repair,Data operations,9,160000,Fix curation issue before using in model training.
ACT024,FEAT008,repair,ML platform,13,70000,Fix curation issue before using in model training.
ACT025,FEAT009,promote,Research,18,140000,Package for next research review with monitoring guardrails.
ACT026,FEAT010,retire,Feature engineering,11,60000,Remove from active queue unless a stronger economic thesis appears.
ACT027,FEAT011,repair,Data operations,9,80000,Fix curation issue before using in model training.
ACT028,FEAT012,retire,ML platform,14,50000,Remove from active queue unless a stronger economic thesis appears.
ACT029,FEAT013,repair,Research,12,50000,Fix curation issue before using in model training.
ACT030,FEAT014,repair,Feature engineering,6,120000,Fix curation issue before using in model training.
ACT031,FEAT015,quarantine,Data operations,18,100000,Block from training data until point-in-time defect is resolved.
ACT032,FEAT016,repair,ML platform,4,70000,Fix curation issue before using in model training.
ACT033,FEAT001,repair,Research,35,110000,Fix curation issue before using in model training.
ACT034,FEAT002,watch,Feature engineering,7,90000,Keep in candidate set but require another validation window.
ACT035,FEAT003,retire,Data operations,37,20000,Remove from active queue unless a stronger economic thesis appears.
ACT036,FEAT004,quarantine,ML platform,32,40000,Block from training data until point-in-time defect is resolved.
ACT037,FEAT005,watch,Research,35,150000,Keep in candidate set but require another validation window.
ACT038,FEAT006,quarantine,Feature engineering,10,20000,Block from training data until point-in-time defect is resolved.
ACT039,FEAT007,promote,Data operations,35,160000,Package for next research review with monitoring guardrails.
ACT040,FEAT008,promote,ML platform,13,80000,Package for next research review with monitoring guardrails.
ACT041,FEAT009,watch,Research,32,80000,Keep in candidate set but require another validation window.
ACT042,FEAT010,quarantine,Feature engineering,33,20000,Block from training data until point-in-time defect is resolved.
ACT043,FEAT011,watch,Data operations,8,130000,Keep in candidate set but require another validation window.
ACT044,FEAT012,watch,ML platform,8,50000,Keep in candidate set but require another validation window.
ACT045,FEAT013,quarantine,Research,24,110000,Block from training data until point-in-time defect is resolved.
ACT046,FEAT014,quarantine,Feature engineering,13,40000,Block from training data until point-in-time defect is resolved.
ACT047,FEAT015,retire,Data operations,22,150000,Remove from active queue unless a stronger economic thesis appears.
ACT048,FEAT016,retire,ML platform,23,90000,Remove from active queue unless a stronger economic thesis appears.
ACT049,FEAT001,promote,Research,32,80000,Package for next research review with monitoring guardrails.
ACT050,FEAT002,repair,Feature engineering,37,40000,Fix curation issue before using in model training.
ACT051,FEAT003,repair,Data operations,33,150000,Fix curation issue before using in model training.
ACT052,FEAT004,repair,ML platform,30,120000,Fix curation issue before using in model training.
ACT053,FEAT005,quarantine,Research,36,30000,Block from training data until point-in-time defect is resolved.
ACT054,FEAT006,promote,Feature engineering,25,70000,Package for next research review with monitoring guardrails.
ACT055,FEAT007,promote,Data operations,20,90000,Package for next research review with monitoring guardrails.
ACT056,FEAT008,watch,ML platform,31,120000,Keep in candidate set but require another validation window.
ACT057,FEAT009,promote,Research,5,40000,Package for next research review with monitoring guardrails.
ACT058,FEAT010,promote,Feature engineering,5,120000,Package for next research review with monitoring guardrails.
ACT059,FEAT011,repair,Data operations,21,40000,Fix curation issue before using in model training.
ACT060,FEAT012,promote,ML platform,25,20000,Package for next research review with monitoring guardrails.
ACT061,FEAT013,repair,Research,22,80000,Fix curation issue before using in model training.
ACT062,FEAT014,promote,Feature engineering,24,130000,Package for next research review with monitoring guardrails.
ACT063,FEAT015,repair,Data operations,35,140000,Fix curation issue before using in model training.
ACT064,FEAT016,quarantine,ML platform,21,150000,Block from training data until point-in-time defect is resolved.
ACT065,FEAT001,retire,Research,16,40000,Remove from active queue unless a stronger economic thesis appears.
ACT066,FEAT002,retire,Feature engineering,5,130000,Remove from active queue unless a stronger economic thesis appears.
ACT067,FEAT003,repair,Data operations,26,130000,Fix curation issue before using in model training.
ACT068,FEAT004,quarantine,ML platform,10,60000,Block from training data until point-in-time defect is resolved.
ACT069,FEAT005,promote,Research,12,20000,Package for next research review with monitoring guardrails.
ACT070,FEAT006,promote,Feature engineering,31,80000,Package for next research review with monitoring guardrails.
ACT071,FEAT007,quarantine,Data operations,18,60000,Block from training data until point-in-time defect is resolved.
ACT072,FEAT008,watch,ML platform,13,110000,Keep in candidate set but require another validation window.
ACT073,FEAT009,quarantine,Research,23,160000,Block from training data until point-in-time defect is resolved.
ACT074,FEAT010,quarantine,Feature engineering,35,60000,Block from training data until point-in-time defect is resolved.
ACT075,FEAT011,promote,Data operations,38,120000,Package for next research review with monitoring guardrails.
ACT076,FEAT012,watch,ML platform,24,100000,Keep in candidate set but require another validation window.
